X,Y,Nedbor,Month
12.0,1.5,182.0,7.0
12.0,1.5,294.0,8.0
12.0,1.5,305.0,9.0
12.0,1.5,222.0,10.0
12.0,1.5,197.0,11.0
12.0,1.5,241.0,12.0
12.0,5.0,266.0,1.0
12.0,5.0,332.0,2.0
12.0,5.0,370.0,3.0
12.0,5.0,334.0,4.0
12.0,5.0,288.0,5.0
12.0,5.0,304.0,6.0
12.0,5.0,359.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,406.0,10.0
12.0,5.0,345.0,11.0
12.0,5.0,402.0,12.0
